GOOGLE_REVIEWS ID,Business Rating,Business Reviews,Source URL,Business Name,Author Name,Local Guide,Review Text,Review Rating,Review Date,Author URL,Topic Keywords,Topics
11,3.3,703 reviews,"https://www.google.ca/maps/place/Canadian+Tire/@43.1718328,-80.2474798,17z/data=!3m1!4b1!4m10!1m2!2m1!1scanadian+tire!3m6!1s0x882c65baad6f5e09:0x2b32377dd4265875!8m2!3d43.1718289!4d-80.2452911!9m1!1b1","Canadian Tire - Brantford, ON",barb  draper,"",terrible customer service. in a retail world where most places will price match they wouldn't honor a sale price in their own flyer because the item was a different color. this is the second time i've had an issue with their service .,1 star,2 months ago,https://www.google.com/maps/contrib/113224246877757074238/reviews?hl=en-CA,"[terrible, customer, service, price, sale, price, item, time, service]","[3, 1, 2]"
12,3.3,703 reviews,"https://www.google.ca/maps/place/Canadian+Tire/@43.1718328,-80.2474798,17z/data=!3m1!4b1!4m10!1m2!2m1!1scanadian+tire!3m6!1s0x882c65baad6f5e09:0x2b32377dd4265875!8m2!3d43.1718289!4d-80.2452911!9m1!1b1","Canadian Tire - Brantford, ON",nana  deb,Local Guide,"i needed a click radio. i searched for a staff member and asked for clock radios. he didnt know, so he searched for another staff member who might know. that staff member thought they were 2 aisles over and if they weren't, come and find …",3 stars,4 months ago,https://www.google.com/maps/contrib/103822585605085825393/reviews?hl=en-CA,"[needed, staff, asked, staff, staff, find]","[2, 4]"
13,3.3,703 reviews,"https://www.google.ca/maps/place/Canadian+Tire/@43.1718328,-80.2474798,17z/data=!3m1!4b1!4m10!1m2!2m1!1scanadian+tire!3m6!1s0x882c65baad6f5e09:0x2b32377dd4265875!8m2!3d43.1718289!4d-80.2452911!9m1!1b1","Canadian Tire - Brantford, ON",Melissa  Gregory,Local Guide,"i rarely shop at canadian tire because my customer service experiences here are always lacking. however, i came in on monday to purchase some mason jars. i was greeted at the door by a young man promoting the store credit card. i …",3 stars,4 months ago,https://www.google.com/maps/contrib/104663662607322366144/reviews?hl=en-CA,"[shop, canadian, tire, customer, service, store]","[3, 4, 1]"
14,3.3,703 reviews,"https://www.google.ca/maps/place/Canadian+Tire/@43.1718328,-80.2474798,17z/data=!3m1!4b1!4m10!1m2!2m1!1scanadian+tire!3m6!1s0x882c65baad6f5e09:0x2b32377dd4265875!8m2!3d43.1718289!4d-80.2452911!9m1!1b1","Canadian Tire - Brantford, ON",canuckrcp,Local Guide,i went to purchase a new smoke and carbon monoxide detector. not being very familiar with the layout of the store i asked the first associate where i should go. she reluctantly gave me vague directions. once i got to that part of the …,3 stars,3 months ago,https://www.google.com/maps/contrib/117793569032821212800/reviews?hl=en-CA,"[store, asked]","[1, 2]"
16,3.3,703 reviews,"https://www.google.ca/maps/place/Canadian+Tire/@43.1718328,-80.2474798,17z/data=!3m1!4b1!4m10!1m2!2m1!1scanadian+tire!3m6!1s0x882c65baad6f5e09:0x2b32377dd4265875!8m2!3d43.1718289!4d-80.2452911!9m1!1b1","Canadian Tire - Brantford, ON",Amanda  Donnelly,Local Guide,can usually find what i am looking for. nothing special to write about. if you need a staff member they are extremely hard to find. better off going to the customer service desk and getting them to help or page someone. experience today …,3 stars,3 months ago,https://www.google.com/maps/contrib/111589387641161689208/reviews?hl=en-CA,"[find, staff, hard, find, customer, service, desk, experience]","[2, 3]"
17,3.3,703 reviews,"https://www.google.ca/maps/place/Canadian+Tire/@43.1718328,-80.2474798,17z/data=!3m1!4b1!4m10!1m2!2m1!1scanadian+tire!3m6!1s0x882c65baad6f5e09:0x2b32377dd4265875!8m2!3d43.1718289!4d-80.2452911!9m1!1b1","Canadian Tire - Brantford, ON",Bobbie  Goss,Local Guide,this is one of the bigger stores but staff were not overly helpful. lots of prices missing but at least you can scan the barcode to check.,3 stars,2 weeks ago,https://www.google.com/maps/contrib/101157278513958956703/reviews?hl=en-CA,"[stores, staff, helpful, prices, check]","[2, 4]"
18,3.3,703 reviews,"https://www.google.ca/maps/place/Canadian+Tire/@43.1718328,-80.2474798,17z/data=!3m1!4b1!4m10!1m2!2m1!1scanadian+tire!3m6!1s0x882c65baad6f5e09:0x2b32377dd4265875!8m2!3d43.1718289!4d-80.2452911!9m1!1b1","Canadian Tire - Brantford, ON",shantell  mckelvie,Local Guide,customer service was not great i am a petite lady i was struggling with a new vacuum and a new pots and pans set both are big boxes everyone just kept walking by me ..and when i finally got to checkout i asked for the 30 dollar gift card …,3 stars,a month ago,https://www.google.com/maps/contrib/108305074876673139165/reviews?hl=en-CA,"[customer, service, great, asked]","[3, 2]"
19,3.3,703 reviews,"https://www.google.ca/maps/place/Canadian+Tire/@43.1718328,-80.2474798,17z/data=!3m1!4b1!4m10!1m2!2m1!1scanadian+tire!3m6!1s0x882c65baad6f5e09:0x2b32377dd4265875!8m2!3d43.1718289!4d-80.2452911!9m1!1b1","Canadian Tire - Brantford, ON",Shannon  McIntyre,Local Guide,"the website and the store may match, technically, but it was a pain in the butt to find the items i went got specifically. i went for moving boxes and they were 5 aisles over in a top shelf that couldn't be seen or reached.",4 stars,2 months ago,https://www.google.com/maps/contrib/118291347084744087597/reviews?hl=en-CA,"[store, find, items]","[2, 1]"
20,3.3,703 reviews,"https://www.google.ca/maps/place/Canadian+Tire/@43.1718328,-80.2474798,17z/data=!3m1!4b1!4m10!1m2!2m1!1scanadian+tire!3m6!1s0x882c65baad6f5e09:0x2b32377dd4265875!8m2!3d43.1718289!4d-80.2452911!9m1!1b1","Canadian Tire - Brantford, ON",Ryan  Anderson,Local Guide,if you know what youre buying its a quick trip... otherwise prepare to get lost and spend more on stuff than expected,5 stars,a month ago,https://www.google.com/maps/contrib/102739888572247487013/reviews?hl=en-CA,[],[]
21,3.3,703 reviews,"https://www.google.ca/maps/place/Canadian+Tire/@43.1718328,-80.2474798,17z/data=!3m1!4b1!4m10!1m2!2m1!1scanadian+tire!3m6!1s0x882c65baad6f5e09:0x2b32377dd4265875!8m2!3d43.1718289!4d-80.2452911!9m1!1b1","Canadian Tire - Brantford, ON",Michael  Scheck,Local Guide,"went in looking for a specific vacuum cleaner, which wasn't on the shelf. found a customer service person who was able to get the department person, and the young man was able to find out they had the vacuum and retrieved it from the stockroom for me. all in all an excellent experience. i will continue to shop there",4 stars,4 months ago,https://www.google.com/maps/contrib/105943511271168388649/reviews?hl=en-CA,"[found, customer, service, department, find, experience, shop]","[3, 2]"
